level_0,index,Vehicle,All_MPG,Combined_MPG,MPG_Type,City_MPG,HWY_MPG,Fuel_Rate,Text2,Annual_Fuel_Cost,MSRP,Car_Spec1,Car_Spec2,Total_Range,EngineType,Year,VehicleBrand,VehicleModel,IsLuxuryBrand
222,222,"Chevrolet Trailblazer AWD 1.3 L, 3 cyl, Automatic 9-spd, Turbo",28MPG2630combined city/hwycityhwy3.6 gal/100 mi,28,MPG,26,30,3.6 gal/100 mi,,1900,27200,10.6 barrels/yr,313 grams/mile,370,Regular Gasoline,2022,Chevrolet,"Trailblazer AWD 1.3 L, 3 cyl, Automatic 9-spd, Turbo",No
223,223,"Mercedes-Benz A220 4matic 2.0 L, 4 cyl, Automatic (AM7), Turbo",28MPG2535combined city/hwycityhwy3.6 gal/100 mi,28,MPG,25,35,3.6 gal/100 mi,,2350,35950,10.6 barrels/yr,312 grams/mile,378,Regular Gasoline,2022,Mercedes-Benz,"A220 4matic 2.0 L, 4 cyl, Automatic (AM7), Turbo",Yes
224,224,"BMW 330i xDrive Sedan 2.0 L, 4 cyl, Automatic (S8), Turbo",28MPG2534combined city/hwycityhwy3.6 gal/100 mi,28,MPG,25,34,3.6 gal/100 mi,,2350,43450,10.6 barrels/yr,314 grams/mile,437,Regular Gasoline,2022,BMW,"330i xDrive Sedan 2.0 L, 4 cyl, Automatic (S8), Turbo",Yes
225,225,"BMW 430i Convertible 2.0 L, 4 cyl, Automatic (S8), Turbo",28MPG2534combined city/hwycityhwy3.6 gal/100 mi,28,MPG,25,34,3.6 gal/100 mi,,2350,53300,10.6 barrels/yr,312 grams/mile,437,Regular Gasoline,2022,BMW,"430i Convertible 2.0 L, 4 cyl, Automatic (S8), Turbo",Yes
226,226,"BMW 430i Coupe 2.0 L, 4 cyl, Automatic (S8), Turbo",28MPG2534combined city/hwycityhwy3.6 gal/100 mi,28,MPG,25,34,3.6 gal/100 mi,,2350,45800,10.6 barrels/yr,312 grams/mile,437,Regular Gasoline,2022,BMW,"430i Coupe 2.0 L, 4 cyl, Automatic (S8), Turbo",Yes
227,227,"BMW 430i Gran Coupe 2.0 L, 4 cyl, Automatic (S8), Turbo",28MPG2534combined city/hwycityhwy3.6 gal/100 mi,28,MPG,25,34,3.6 gal/100 mi,28.4,2350,45200,10.6 barrels/yr,312 grams/mile,437,Regular Gasoline,2022,BMW,"430i Gran Coupe 2.0 L, 4 cyl, Automatic (S8), Turbo",Yes
228,228,"Hyundai Elantra 1.6 L, 4 cyl, Manual 6-spd, Turbo",28MPG2534combined city/hwycityhwy3.6 gal/100 mi,28,MPG,25,34,3.6 gal/100 mi,,1900,25950,10.6 barrels/yr,318 grams/mile,347,Regular Gasoline,2022,Hyundai,"Elantra 1.6 L, 4 cyl, Manual 6-spd, Turbo",No
229,229,"Lexus ES 250 AWD 2.5 L, 4 cyl, Automatic (S8)",28MPG2534combined city/hwycityhwy3.6 gal/100 mi,28,MPG,25,34,3.6 gal/100 mi,,1900,50130,10.6 barrels/yr,315 grams/mile,406,Regular Gasoline,2022,Lexus,"ES 250 AWD 2.5 L, 4 cyl, Automatic (S8)",Yes
230,230,"Toyota Camry AWD XLE/XSE 2.5 L, 4 cyl, Automatic (S8)",28MPG2534combined city/hwycityhwy3.6 gal/100 mi,28,MPG,25,34,3.6 gal/100 mi,,1900,32545,10.6 barrels/yr,315 grams/mile,403,Regular Gasoline,2022,Toyota,"Camry AWD XLE/XSE 2.5 L, 4 cyl, Automatic (S8)",No
231,231,"Volkswagen GTI 2.0 L, 4 cyl, Automatic (AM7), Turbo",28MPG2534combined city/hwycityhwy3.6 gal/100 mi,28,MPG,25,34,3.6 gal/100 mi,,1900,39130,10.6 barrels/yr,312 grams/mile,370,Regular Gasoline,2022,Volkswagen,"GTI 2.0 L, 4 cyl, Automatic (AM7), Turbo",No
232,232,"BMW 530i Sedan 2.0 L, 4 cyl, Automatic (S8), Turbo",28MPG2533combined city/hwycityhwy3.6 gal/100 mi,28,MPG,25,33,3.6 gal/100 mi,,2350,0,10.6 barrels/yr,313 grams/mile,504,Regular Gasoline,2022,BMW,"530i Sedan 2.0 L, 4 cyl, Automatic (S8), Turbo",Yes
233,233,"Jaguar XF P250 2.0 L, 4 cyl, Automatic (S8), Turbo",28MPG2533combined city/hwycityhwy3.6 gal/100 mi,28,MPG,25,33,3.6 gal/100 mi,,2350,48100,10.6 barrels/yr,317 grams/mile,546,Regular Gasoline,2022,Jaguar,"XF P250 2.0 L, 4 cyl, Automatic (S8), Turbo",Yes
234,234,"Kia K5 AWD 1.6 L, 4 cyl, Automatic (S8), Turbo",28MPG2533combined city/hwycityhwy3.6 gal/100 mi,28,MPG,25,33,3.6 gal/100 mi,,1900,27790,10.6 barrels/yr,316 grams/mile,442,Regular Gasoline,2022,Kia,"K5 AWD 1.6 L, 4 cyl, Automatic (S8), Turbo",No
235,235,"Mazda 3 4-Door 4WD 2.5 L, 4 cyl, Automatic (S6)",28MPG2533combined city/hwycityhwy3.6 gal/100 mi,28,MPG,25,33,3.6 gal/100 mi,,1900,33450,10.6 barrels/yr,320 grams/mile,356,Regular Gasoline,2022,Mazda,"3 4-Door 4WD 2.5 L, 4 cyl, Automatic (S6)",No
236,236,"Toyota RAV4 AWD 2.5 L, 4 cyl, Automatic (S8)",28MPG2533combined city/hwycityhwy3.6 gal/100 mi,28,MPG,25,33,3.6 gal/100 mi,,1900,36875,10.6 barrels/yr,319 grams/mile,406,Regular Gasoline,2022,Toyota,"RAV4 AWD 2.5 L, 4 cyl, Automatic (S8)",No
237,237,"Volvo S60 B5 AWD 2.0 L, 4 cyl, Automatic (S8), Turbo",28MPG2533combined city/hwycityhwy3.6 gal/100 mi,28,MPG,25,33,3.6 gal/100 mi,,2350,44550,10.6 barrels/yr,316 grams/mile,445,Regular Gasoline,2022,Volvo,"S60 B5 AWD 2.0 L, 4 cyl, Automatic (S8), Turbo",Yes
238,238,"BMW Z4 sDrive30i 2.0 L, 4 cyl, Automatic (S8), Turbo",28MPG2532combined city/hwycityhwy3.6 gal/100 mi,28,MPG,25,32,3.6 gal/100 mi,,2350,49900,10.6 barrels/yr,317 grams/mile,384,Regular Gasoline,2022,BMW,"Z4 sDrive30i 2.0 L, 4 cyl, Automatic (S8), Turbo",Yes
239,239,"Lexus NX 250 AWD 2.5 L, 4 cyl, Automatic (S8)",28MPG2532combined city/hwycityhwy3.6 gal/100 mi,28,MPG,25,32,3.6 gal/100 mi,,1900,46100,10.6 barrels/yr,318 grams/mile,406,Regular Gasoline,2022,Lexus,"NX 250 AWD 2.5 L, 4 cyl, Automatic (S8)",Yes
240,240,"Nissan Rogue Sport 2.0 L, 4 cyl, Automatic (AV-S8)",28MPG2532combined city/hwycityhwy3.6 gal/100 mi,28,MPG,25,32,3.6 gal/100 mi,,1900,29590,10.6 barrels/yr,318 grams/mile,406,Regular Gasoline,2022,Nissan,"Rogue Sport 2.0 L, 4 cyl, Automatic (AV-S8)",No
241,241,"Toyota GR Supra 2.0 L, 4 cyl, Automatic (S8), Turbo",28MPG2532combined city/hwycityhwy3.6 gal/100 mi,28,MPG,25,32,3.6 gal/100 mi,,2350,63280,10.6 barrels/yr,317 grams/mile,384,Regular Gasoline,2022,Toyota,"GR Supra 2.0 L, 4 cyl, Automatic (S8), Turbo",No
242,242,"Toyota RAV4 AWD TRD OFFROAD 2.5 L, 4 cyl, Automatic (S8)",28MPG2532combined city/hwycityhwy3.6 gal/100 mi,28,MPG,25,32,3.6 gal/100 mi,,1900,36915,10.6 barrels/yr,323 grams/mile,406,Regular Gasoline,2022,Toyota,"RAV4 AWD TRD OFFROAD 2.5 L, 4 cyl, Automatic (S8)",No
243,243,"Volkswagen Taos 4motion 1.5 L, 4 cyl, Automatic 7-spd, Turbo",28MPG2532combined city/hwycityhwy3.6 gal/100 mi,28,MPG,25,32,3.6 gal/100 mi,28.0,1900,33645,10.6 barrels/yr,323 grams/mile,406,Regular Gasoline,2022,Volkswagen,"Taos 4motion 1.5 L, 4 cyl, Automatic 7-spd, Turbo",No
244,244,"Volkswagen Passat 2.0 L, 4 cyl, Automatic (S6), Turbo",28MPG2436combined city/hwycityhwy3.6 gal/100 mi,28,MPG,24,36,3.6 gal/100 mi,27.5,1900,30575,10.6 barrels/yr,315 grams/mile,518,Regular Gasoline,2022,Volkswagen,"Passat 2.0 L, 4 cyl, Automatic (S6), Turbo",No
245,245,"Mercedes-Benz A220 2.0 L, 4 cyl, Automatic (AM7), Turbo",28MPG2435combined city/hwycityhwy3.6 gal/100 mi,28,MPG,24,35,3.6 gal/100 mi,,2350,33950,10.6 barrels/yr,313 grams/mile,378,Regular Gasoline,2022,Mercedes-Benz,"A220 2.0 L, 4 cyl, Automatic (AM7), Turbo",Yes
246,246,"Acura ILX 2.4 L, 4 cyl, Automatic (AM-S8)",28MPG2434combined city/hwycityhwy3.6 gal/100 mi,28,MPG,24,34,3.6 gal/100 mi,,2350,33200,10.6 barrels/yr,316 grams/mile,370,Regular Gasoline,2022,Acura,"ILX 2.4 L, 4 cyl, Automatic (AM-S8)",Yes
247,247,"BMW 228i Gran Coupe 2.0 L, 4 cyl, Automatic (S8), Turbo",28MPG2434combined city/hwycityhwy3.6 gal/100 mi,28,MPG,24,34,3.6 gal/100 mi,,2350,0,10.6 barrels/yr,314 grams/mile,370,Regular Gasoline,2022,BMW,"228i Gran Coupe 2.0 L, 4 cyl, Automatic (S8), Turbo",Yes
248,248,"Mercedes-Benz GLA250 2.0 L, 4 cyl, Automatic (AM8), Turbo",28MPG2434combined city/hwycityhwy3.6 gal/100 mi,28,MPG,24,34,3.6 gal/100 mi,,2350,36400,10.6 barrels/yr,321 grams/mile,356,Regular Gasoline,2022,Mercedes-Benz,"GLA250 2.0 L, 4 cyl, Automatic (AM8), Turbo",Yes
249,249,"Volkswagen Arteon 2.0 L, 4 cyl, Automatic (AM7), Turbo",28MPG2434combined city/hwycityhwy3.6 gal/100 mi,28,MPG,24,34,3.6 gal/100 mi,,2350,40750,10.6 barrels/yr,318 grams/mile,487,Regular Gasoline,2022,Volkswagen,"Arteon 2.0 L, 4 cyl, Automatic (AM7), Turbo",No
250,250,"Volkswagen GTI 2.0 L, 4 cyl, Manual 6-spd, Turbo",28MPG2434combined city/hwycityhwy3.6 gal/100 mi,28,MPG,24,34,3.6 gal/100 mi,30.5,1900,39130,10.6 barrels/yr,319 grams/mile,370,Regular Gasoline,2022,Volkswagen,"GTI 2.0 L, 4 cyl, Manual 6-spd, Turbo",No
251,251,"MINI Cooper S Countryman 2.0 L, 4 cyl, Automatic (AM-S7), Turbo",28MPG2433combined city/hwycityhwy3.6 gal/100 mi,28,MPG,24,33,3.6 gal/100 mi,,2350,0,10.6 barrels/yr,321 grams/mile,451,Regular Gasoline,2022,MINI,"Cooper S Countryman 2.0 L, 4 cyl, Automatic (AM-S7), Turbo",No
252,252,"MINI John Cooper Works Convertible 2.0 L, 4 cyl, Automatic (S8), Turbo",28MPG2433combined city/hwycityhwy3.6 gal/100 mi,28,MPG,24,33,3.6 gal/100 mi,,2350,38900,10.6 barrels/yr,319 grams/mile,325,Regular Gasoline,2022,MINI,"John Cooper Works Convertible 2.0 L, 4 cyl, Automatic (S8), Turbo",No
253,253,"Buick Encore GX AWD 1.3 L, 3 cyl, Automatic 9-spd, Turbo",27MPG2629combined city/hwycityhwy3.7 gal/100 mi,27,MPG,26,29,3.7 gal/100 mi,,1950,30600,11.0 barrels/yr,324 grams/mile,356,Regular Gasoline,2022,Buick,"Encore GX AWD 1.3 L, 3 cyl, Automatic 9-spd, Turbo",No
254,254,"Mitsubishi Eclipse Cross ES 2WD 1.5 L, 4 cyl, Automatic (AV-S8), Turbo",27MPG2629combined city/hwycityhwy3.7 gal/100 mi,27,MPG,26,29,3.7 gal/100 mi,,1950,0,11.0 barrels/yr,327 grams/mile,448,Regular Gasoline,2022,Mitsubishi,"Eclipse Cross ES 2WD 1.5 L, 4 cyl, Automatic (AV-S8), Turbo",No
255,255,"Mazda 3 5-Door 4WD 2.5 L, 4 cyl, Automatic (S6)",27MPG2531combined city/hwycityhwy3.7 gal/100 mi,27,MPG,25,31,3.7 gal/100 mi,,1950,34750,11.0 barrels/yr,326 grams/mile,343,Regular Gasoline,2022,Mazda,"3 5-Door 4WD 2.5 L, 4 cyl, Automatic (S6)",No
256,256,"Chevrolet Equinox AWD 1.5 L, 4 cyl, Automatic 6-spd, Turbo",27MPG2530combined city/hwycityhwy3.7 gal/100 mi,27,MPG,25,30,3.7 gal/100 mi,,1950,32600,11.0 barrels/yr,327 grams/mile,421,Regular Gasoline,2022,Chevrolet,"Equinox AWD 1.5 L, 4 cyl, Automatic 6-spd, Turbo",No
257,257,"GMC Terrain FWD 1.5 L, 4 cyl, Automatic 9-spd, Turbo",27MPG2530combined city/hwycityhwy3.7 gal/100 mi,27,MPG,25,30,3.7 gal/100 mi,,1950,31900,11.0 barrels/yr,330 grams/mile,402,Regular Gasoline,2022,GMC,"Terrain FWD 1.5 L, 4 cyl, Automatic 9-spd, Turbo",No
258,258,"Kia Seltos AWD 1.6 L, 4 cyl, Automatic (AM-S7), Turbo",27MPG2530combined city/hwycityhwy3.7 gal/100 mi,27,MPG,25,30,3.7 gal/100 mi,,1950,28090,11.0 barrels/yr,331 grams/mile,356,Regular Gasoline,2022,Kia,"Seltos AWD 1.6 L, 4 cyl, Automatic (AM-S7), Turbo",No
259,259,"Alfa Romeo Giulia 2.0 L, 4 cyl, Automatic 8-spd, Turbo",27MPG2433combined city/hwycityhwy3.7 gal/100 mi,27,MPG,24,33,3.7 gal/100 mi,,2400,78830,11.0 barrels/yr,330 grams/mile,413,Regular Gasoline,2022,Alfa Romeo,"Giulia 2.0 L, 4 cyl, Automatic 8-spd, Turbo",Yes
260,260,"BMW X1 sDrive28i 2.0 L, 4 cyl, Automatic (S8), Turbo",27MPG2433combined city/hwycityhwy3.7 gal/100 mi,27,MPG,24,33,3.7 gal/100 mi,,2400,35400,11.0 barrels/yr,324 grams/mile,435,Regular Gasoline,2022,BMW,"X1 sDrive28i 2.0 L, 4 cyl, Automatic (S8), Turbo",Yes
261,261,"Mazda 3 5-Door 2WD 2.5 L, 4 cyl, Manual 6-spd",27MPG2433combined city/hwycityhwy3.7 gal/100 mi,27,MPG,24,33,3.7 gal/100 mi,,1950,28700,11.0 barrels/yr,323 grams/mile,356,Regular Gasoline,2022,Mazda,"3 5-Door 2WD 2.5 L, 4 cyl, Manual 6-spd",No
262,262,"Mercedes-Benz CLA250 4matic 2.0 L, 4 cyl, Automatic (AM7), Turbo",27MPG2433combined city/hwycityhwy3.7 gal/100 mi,27,MPG,24,33,3.7 gal/100 mi,,2400,40200,11.0 barrels/yr,322 grams/mile,364,Regular Gasoline,2022,Mercedes-Benz,"CLA250 4matic 2.0 L, 4 cyl, Automatic (AM7), Turbo",Yes
263,263,"BMW X2 sDrive28i 2.0 L, 4 cyl, Automatic (S8), Turbo",27MPG2432combined city/hwycityhwy3.7 gal/100 mi,27,MPG,24,32,3.7 gal/100 mi,,2400,36600,11.0 barrels/yr,330 grams/mile,435,Regular Gasoline,2022,BMW,"X2 sDrive28i 2.0 L, 4 cyl, Automatic (S8), Turbo",Yes
264,264,"Buick Encore FWD 1.4 L, 4 cyl, Automatic (S6), Turbo",27MPG2432combined city/hwycityhwy3.7 gal/100 mi,27,MPG,24,32,3.7 gal/100 mi,,1950,24600,11.0 barrels/yr,329 grams/mile,378,Regular Gasoline,2022,Buick,"Encore FWD 1.4 L, 4 cyl, Automatic (S6), Turbo",No
265,265,"Chevrolet Trax FWD 1.4 L, 4 cyl, Automatic (S6), Turbo",27MPG2432combined city/hwycityhwy3.7 gal/100 mi,27,MPG,24,32,3.7 gal/100 mi,,1950,23200,11.0 barrels/yr,329 grams/mile,378,Regular Gasoline,2022,Chevrolet,"Trax FWD 1.4 L, 4 cyl, Automatic (S6), Turbo",No
266,266,"Jeep Renegade 2WD 1.3 L, 4 cyl, Automatic 9-spd, Turbo",27MPG2432combined city/hwycityhwy3.7 gal/100 mi,27,MPG,24,32,3.7 gal/100 mi,,1950,24695,11.0 barrels/yr,329 grams/mile,343,Regular Gasoline,2022,Jeep,"Renegade 2WD 1.3 L, 4 cyl, Automatic 9-spd, Turbo",No
267,267,"Kia K5 2.5 L, 4 cyl, Automatic (AM-S8), Turbo",27MPG2432combined city/hwycityhwy3.7 gal/100 mi,27,MPG,24,32,3.7 gal/100 mi,,1950,31190,11.0 barrels/yr,332 grams/mile,427,Regular Gasoline,2022,Kia,"K5 2.5 L, 4 cyl, Automatic (AM-S8), Turbo",No
268,268,"Mercedes-Benz GLB250 2.0 L, 4 cyl, Automatic (AM8), Turbo",27MPG2432combined city/hwycityhwy3.7 gal/100 mi,27,MPG,24,32,3.7 gal/100 mi,,2400,38600,11.0 barrels/yr,330 grams/mile,429,Regular Gasoline,2022,Mercedes-Benz,"GLB250 2.0 L, 4 cyl, Automatic (AM8), Turbo",Yes
269,269,"Subaru Legacy AWD 2.4 L, 4 cyl, Automatic (AV-S8), Turbo",27MPG2432combined city/hwycityhwy3.7 gal/100 mi,27,MPG,24,32,3.7 gal/100 mi,,1950,36695,11.0 barrels/yr,330 grams/mile,500,Regular Gasoline,2022,Subaru,"Legacy AWD 2.4 L, 4 cyl, Automatic (AV-S8), Turbo",No
270,270,"BMW X2 xDrive28i 2.0 L, 4 cyl, Automatic (S8), Turbo",27MPG2431combined city/hwycityhwy3.7 gal/100 mi,27,MPG,24,31,3.7 gal/100 mi,,2400,38600,11.0 barrels/yr,331 grams/mile,435,Regular Gasoline,2022,BMW,"X2 xDrive28i 2.0 L, 4 cyl, Automatic (S8), Turbo",Yes
271,271,"Mitsubishi Outlander 2WD 2.5 L, 4 cyl, Automatic (AV-S8)",27MPG2431combined city/hwycityhwy3.7 gal/100 mi,27,MPG,24,31,3.7 gal/100 mi,28.7,1950,33145,11.0 barrels/yr,328 grams/mile,392,Regular Gasoline,2022,Mitsubishi,"Outlander 2WD 2.5 L, 4 cyl, Automatic (AV-S8)",No
272,272,"Mitsubishi Outlander Sport 2WD 2.0 L, 4 cyl, Automatic (AV-S6)",27MPG2430combined city/hwycityhwy3.7 gal/100 mi,27,MPG,24,30,3.7 gal/100 mi,27.9,1950,26045,11.0 barrels/yr,331 grams/mile,448,Regular Gasoline,2022,Mitsubishi,"Outlander Sport 2WD 2.0 L, 4 cyl, Automatic (AV-S6)",No
273,273,"Nissan Rogue Sport AWD 2.0 L, 4 cyl, Automatic (AV-S8)",27MPG2430combined city/hwycityhwy3.7 gal/100 mi,27,MPG,24,30,3.7 gal/100 mi,,1950,31090,11.0 barrels/yr,330 grams/mile,392,Regular Gasoline,2022,Nissan,"Rogue Sport AWD 2.0 L, 4 cyl, Automatic (AV-S8)",No
274,274,"Cadillac CT4 2.0 L, 4 cyl, Automatic (S8), Turbo",27MPG2334combined city/hwycityhwy3.7 gal/100 mi,27,MPG,23,34,3.7 gal/100 mi,,2400,39795,11.0 barrels/yr,331 grams/mile,459,Regular Gasoline,2022,Cadillac,"CT4 2.0 L, 4 cyl, Automatic (S8), Turbo",Yes
275,275,"BMW 228i xDrive Gran Coupe 2.0 L, 4 cyl, Automatic (S8), Turbo",27MPG2333combined city/hwycityhwy3.7 gal/100 mi,27,MPG,23,33,3.7 gal/100 mi,,2400,0,11.0 barrels/yr,329 grams/mile,356,Regular Gasoline,2022,BMW,"228i xDrive Gran Coupe 2.0 L, 4 cyl, Automatic (S8), Turbo",Yes
276,276,"BMW 430i xDrive Convertible 2.0 L, 4 cyl, Automatic (S8), Turbo",27MPG2333combined city/hwycityhwy3.7 gal/100 mi,27,MPG,23,33,3.7 gal/100 mi,,2400,55300,11.0 barrels/yr,327 grams/mile,421,Regular Gasoline,2022,BMW,"430i xDrive Convertible 2.0 L, 4 cyl, Automatic (S8), Turbo",Yes
277,277,"BMW 430i xDrive Coupe 2.0 L, 4 cyl, Automatic (S8), Turbo",27MPG2333combined city/hwycityhwy3.7 gal/100 mi,27,MPG,23,33,3.7 gal/100 mi,,2400,47800,11.0 barrels/yr,327 grams/mile,421,Regular Gasoline,2022,BMW,"430i xDrive Coupe 2.0 L, 4 cyl, Automatic (S8), Turbo",Yes
278,278,"Cadillac CT5 2.0 L, 4 cyl, Automatic (S10), Turbo",27MPG2333combined city/hwycityhwy3.7 gal/100 mi,27,MPG,23,33,3.7 gal/100 mi,,2400,42995,11.0 barrels/yr,333 grams/mile,459,Regular Gasoline,2022,Cadillac,"CT5 2.0 L, 4 cyl, Automatic (S10), Turbo",Yes
279,279,"Hyundai Sonata 2.5 L, 4 cyl, Automatic (AM-S8), Turbo",27MPG2333combined city/hwycityhwy3.7 gal/100 mi,27,MPG,23,33,3.7 gal/100 mi,,1950,34750,11.0 barrels/yr,335 grams/mile,429,Regular Gasoline,2022,Hyundai,"Sonata 2.5 L, 4 cyl, Automatic (AM-S8), Turbo",No
280,280,"MINI Cooper S Hardtop 2 door 2.0 L, 4 cyl, Manual 6-spd, Turbo",27MPG2333combined city/hwycityhwy3.7 gal/100 mi,27,MPG,23,33,3.7 gal/100 mi,,2400,26900,11.0 barrels/yr,331 grams/mile,313,Regular Gasoline,2022,MINI,"Cooper S Hardtop 2 door 2.0 L, 4 cyl, Manual 6-spd, Turbo",No
281,281,"MINI Cooper S Hardtop 4 door 2.0 L, 4 cyl, Manual 6-spd, Turbo",27MPG2333combined city/hwycityhwy3.7 gal/100 mi,27,MPG,23,33,3.7 gal/100 mi,,2400,27900,11.0 barrels/yr,331 grams/mile,313,Regular Gasoline,2022,MINI,"Cooper S Hardtop 4 door 2.0 L, 4 cyl, Manual 6-spd, Turbo",No
282,282,"Audi S3 2.0 L, 4 cyl, Automatic (AM-S7), Turbo",27MPG2332combined city/hwycityhwy3.7 gal/100 mi,27,MPG,23,32,3.7 gal/100 mi,,2400,52400,11.0 barrels/yr,331 grams/mile,392,Regular Gasoline,2022,Audi,"S3 2.0 L, 4 cyl, Automatic (AM-S7), Turbo",Yes
283,283,"Mazda 3 4-Door 4WD 2.5 L, 4 cyl, Automatic (S6), Turbo",27MPG2332combined city/hwycityhwy3.7 gal/100 mi,27,MPG,23,32,3.7 gal/100 mi,,1950,33450,11.0 barrels/yr,334 grams/mile,343,Regular Gasoline,2022,Mazda,"3 4-Door 4WD 2.5 L, 4 cyl, Automatic (S6), Turbo",No
284,284,"Ford Bronco Sport 4WD 1.5 L, 3 cyl, Automatic 8-spd, Turbo",26MPG2528combined city/hwycityhwy3.8 gal/100 mi,26,MPG,25,28,3.8 gal/100 mi,,2050,36590,11.4 barrels/yr,342 grams/mile,416,Regular Gasoline,2022,Ford,"Bronco Sport 4WD 1.5 L, 3 cyl, Automatic 8-spd, Turbo",No
285,285,"GMC Terrain AWD 1.5 L, 4 cyl, Automatic 9-spd, Turbo",26MPG2528combined city/hwycityhwy3.8 gal/100 mi,26,MPG,25,28,3.8 gal/100 mi,,2050,36600,11.4 barrels/yr,342 grams/mile,406,Regular Gasoline,2022,GMC,"Terrain AWD 1.5 L, 4 cyl, Automatic 9-spd, Turbo",No
286,286,"Hyundai Santa Fe FWD 2.5 L, 4 cyl, Automatic (S8)",26MPG2528combined city/hwycityhwy3.8 gal/100 mi,26,MPG,25,28,3.8 gal/100 mi,,2050,41410,11.4 barrels/yr,344 grams/mile,489,Regular Gasoline,2022,Hyundai,"Santa Fe FWD 2.5 L, 4 cyl, Automatic (S8)",No
287,287,"Mitsubishi Eclipse Cross 2WD 1.5 L, 4 cyl, Automatic (AV-S8), Turbo",26MPG2528combined city/hwycityhwy3.8 gal/100 mi,26,MPG,25,28,3.8 gal/100 mi,,2050,27695,11.4 barrels/yr,338 grams/mile,432,Regular Gasoline,2022,Mitsubishi,"Eclipse Cross 2WD 1.5 L, 4 cyl, Automatic (AV-S8), Turbo",No
288,288,"Mitsubishi Eclipse Cross ES 4WD 1.5 L, 4 cyl, Automatic (AV-S8), Turbo",26MPG2528combined city/hwycityhwy3.8 gal/100 mi,26,MPG,25,28,3.8 gal/100 mi,,2050,25295,11.4 barrels/yr,337 grams/mile,411,Regular Gasoline,2022,Mitsubishi,"Eclipse Cross ES 4WD 1.5 L, 4 cyl, Automatic (AV-S8), Turbo",No
289,289,"Subaru Forester Wilderness AWD 2.5 L, 4 cyl, Automatic (AV-S8)",26MPG2528combined city/hwycityhwy3.8 gal/100 mi,26,MPG,25,28,3.8 gal/100 mi,,2050,33520,11.4 barrels/yr,338 grams/mile,432,Regular Gasoline,2022,Subaru,"Forester Wilderness AWD 2.5 L, 4 cyl, Automatic (AV-S8)",No
290,290,"Buick Envision FWD 2.0 L, 4 cyl, Automatic (S9), Turbo",26MPG2431combined city/hwycityhwy3.8 gal/100 mi,26,MPG,24,31,3.8 gal/100 mi,,2050,40400,11.4 barrels/yr,341 grams/mile,413,Regular Gasoline,2022,Buick,"Envision FWD 2.0 L, 4 cyl, Automatic (S9), Turbo",No
291,291,"Mazda CX-30 4WD 2.5 L, 4 cyl, Automatic (S6)",26MPG2431combined city/hwycityhwy3.8 gal/100 mi,26,MPG,24,31,3.8 gal/100 mi,27.7,2050,34700,11.4 barrels/yr,334 grams/mile,330,Regular Gasoline,2022,Mazda,"CX-30 4WD 2.5 L, 4 cyl, Automatic (S6)",No
292,292,"Subaru Impreza 5-Door 2.0 L, 4 cyl, Manual 5-spd",26MPG2431combined city/hwycityhwy3.8 gal/100 mi,26,MPG,24,31,3.8 gal/100 mi,,2050,26895,11.4 barrels/yr,335 grams/mile,343,Regular Gasoline,2022,Subaru,"Impreza 5-Door 2.0 L, 4 cyl, Manual 5-spd",No
293,293,"Cadillac XT4 FWD 2.0 L, 4 cyl, Automatic (S9), Turbo",26MPG2430combined city/hwycityhwy3.8 gal/100 mi,26,MPG,24,30,3.8 gal/100 mi,,2500,39895,11.4 barrels/yr,341 grams/mile,413,Regular Gasoline,2022,Cadillac,"XT4 FWD 2.0 L, 4 cyl, Automatic (S9), Turbo",Yes
294,294,"Fiat 500X AWD 1.3 L, 4 cyl, Automatic 9-spd, Turbo",26MPG2430combined city/hwycityhwy3.8 gal/100 mi,26,MPG,24,30,3.8 gal/100 mi,,2050,33945,11.4 barrels/yr,356 grams/mile,330,Regular Gasoline,2022,Fiat,"500X AWD 1.3 L, 4 cyl, Automatic 9-spd, Turbo",No
295,295,"Mazda CX-5 4WD 2.5 L, 4 cyl, Automatic (S6)",26MPG2430combined city/hwycityhwy3.8 gal/100 mi,26,MPG,24,30,3.8 gal/100 mi,28.1,2050,39000,11.4 barrels/yr,337 grams/mile,398,Regular Gasoline,2022,Mazda,"CX-5 4WD 2.5 L, 4 cyl, Automatic (S6)",No
296,296,"Mitsubishi Outlander 4WD 2.5 L, 4 cyl, Automatic (AV-S8)",26MPG2430combined city/hwycityhwy3.8 gal/100 mi,26,MPG,24,30,3.8 gal/100 mi,26.9,2050,35345,11.4 barrels/yr,342 grams/mile,377,Regular Gasoline,2022,Mitsubishi,"Outlander 4WD 2.5 L, 4 cyl, Automatic (AV-S8)",No
297,297,"Hyundai Tucson AWD 2.5 L, 4 cyl, Automatic (S8)",26MPG2429combined city/hwycityhwy3.8 gal/100 mi,26,MPG,24,29,3.8 gal/100 mi,25.4,2050,36800,11.4 barrels/yr,349 grams/mile,372,Regular Gasoline,2022,Hyundai,"Tucson AWD 2.5 L, 4 cyl, Automatic (S8)",No
298,298,"Kia Sorento FWD 2.5 L, 4 cyl, Automatic (S8)",26MPG2429combined city/hwycityhwy3.8 gal/100 mi,26,MPG,24,29,3.8 gal/100 mi,,2050,41190,11.4 barrels/yr,342 grams/mile,460,Regular Gasoline,2022,Kia,"Sorento FWD 2.5 L, 4 cyl, Automatic (S8)",No
