level_0,index,Vehicle,All_MPG,Combined_MPG,MPG_Type,City_MPG,HWY_MPG,Fuel_Rate,Text2,Annual_Fuel_Cost,MSRP,Car_Spec1,Car_Spec2,Total_Range,EngineType,Year,VehicleBrand,VehicleModel,IsLuxuryBrand
10,10,Tesla Model SAutomatic (A1),120MPGe124115combined city/hwycityhwy28 kWh/100 mi,120,MPGe,124,115,28 kWh/100 mi,NA ,600,104990,.1 barrels/yr,0 grams/mile,405,Electric Vehicle,2022,Tesla,Model SAutomatic (A1),Yes
11,11,Kia EV6 RWD (Standard Range)Automatic (A1),117MPGe136100combined city/hwycityhwy29 kWh/100 mi,117,MPGe,136,100,29 kWh/100 mi,NA ,600,0,.1 barrels/yr,0 grams/mile,232,Electric Vehicle,2022,Kia,EV6 RWD (Standard Range)Automatic (A1),No
12,12,Kia EV6 RWD (Long Range)Automatic (A1),117MPGe134101combined city/hwycityhwy29 kWh/100 mi,117,MPGe,134,101,29 kWh/100 mi,NA ,600,0,.1 barrels/yr,0 grams/mile,310,Electric Vehicle,2022,Kia,EV6 RWD (Long Range)Automatic (A1),No
13,13,Tesla Model S Plaid (19 inch wheels)Automatic (A1),116MPGe119112combined city/hwycityhwy29 kWh/100 mi,116,MPGe,119,112,29 kWh/100 mi,NA ,600,135990,.1 barrels/yr,0 grams/mile,396,Electric Vehicle,2022,Tesla,Model S Plaid (19 inch wheels)Automatic (A1),Yes
14,14,Lucid Air Dream P AWD w/19 inch wheelsAutomatic (A1),116MPGe117114combined city/hwycityhwy29 kWh/100 mi,116,MPGe,117,114,29 kWh/100 mi,NA ,600,0,.1 barrels/yr,0 grams/mile,471,Electric Vehicle,2022,Lucid,Air Dream P AWD w/19 inch wheelsAutomatic (A1),No
15,15,Lucid Air Dream R AWD w/21 inch wheelsAutomatic (A1),116MPGe115117combined city/hwycityhwy29 kWh/100 mi,116,MPGe,115,117,29 kWh/100 mi,NA ,600,0,.1 barrels/yr,0 grams/mile,481,Electric Vehicle,2022,Lucid,Air Dream R AWD w/21 inch wheelsAutomatic (A1),No
16,16,Chevrolet Bolt EUVAutomatic (variable gear ratios),115MPGe125104combined city/hwycityhwy29 kWh/100 mi,115,MPGe,125,104,29 kWh/100 mi,NA ,600,37500,.1 barrels/yr,0 grams/mile,247,Electric Vehicle,2022,Chevrolet,Bolt EUVAutomatic (variable gear ratios),No
17,17,Hyundai Ioniq 5 RWD (Long Range)Automatic (A1),114MPGe13298combined city/hwycityhwy30 kWh/100 mi,114,MPGe,132,98,30 kWh/100 mi,NA ,650,51100,.1 barrels/yr,0 grams/mile,303,Electric Vehicle,2022,Hyundai,Ioniq 5 RWD (Long Range)Automatic (A1),No
18,18,Tesla Model 3 Performance AWDAutomatic (A1),113MPGe118107combined city/hwycityhwy30 kWh/100 mi,113,MPGe,118,107,30 kWh/100 mi,NA ,650,62990,.1 barrels/yr,0 grams/mile,315,Electric Vehicle,2022,Tesla,Model 3 Performance AWDAutomatic (A1),Yes
19,19,Kia Niro ElectricAutomatic (A1),112MPGe123102combined city/hwycityhwy30 kWh/100 mi,112,MPGe,123,102,30 kWh/100 mi,123.7,650,44650,.1 barrels/yr,0 grams/mile,239,Electric Vehicle,2022,Kia,Niro ElectricAutomatic (A1),No
