Vehicle,Blank1,All_MPG,Blank2,Combined_MPG,MPG_Type,City_MPG,HWY_MPG,Blank3,Text1,Text_city,Text_hwy,Fuel_Rate,Text2,Blank4,Annual_Fuel_Cost,MSRP,Car_Spec1,Car_Spec2,Total_Range,EngineType
"2022 Volkswagen GTI 2.0 L, 4 cyl, Automatic (AM7), Turbo, Regular Gasoline",,28MPG2534combined city/hwycityhwy3.6 gal/100 mi,,28,MPG,25,34,,combined city/hwy,city,hwy,3.6 gal/100 mi,,,"$1,900","$29,880 – $39,130",10.6 barrels/yr,312 grams/mile, 370 milesTotal Range,Regular Gasoline
"2022 BMW 530i Sedan 2.0 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,28MPG2533combined city/hwycityhwy3.6 gal/100 mi,,28,MPG,25,33,,combined city/hwy,city,hwy,3.6 gal/100 mi,,,"$2,350", ,10.6 barrels/yr,313 grams/mile, 504 milesTotal Range,Regular Gasoline
"2022 Jaguar XF P250 2.0 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,28MPG2533combined city/hwycityhwy3.6 gal/100 mi,,28,MPG,25,33,,combined city/hwy,city,hwy,3.6 gal/100 mi,,,"$2,350","$45,300 – $48,100",10.6 barrels/yr,317 grams/mile, 546 milesTotal Range,Regular Gasoline
"2022 Kia K5 AWD 1.6 L, 4 cyl, Automatic (S8), Turbo, Regular Gasoline",,28MPG2533combined city/hwycityhwy3.6 gal/100 mi,,28,MPG,25,33,,combined city/hwy,city,hwy,3.6 gal/100 mi,,,"$1,900","$26,590 – $27,790",10.6 barrels/yr,316 grams/mile, 442 milesTotal Range,Regular Gasoline
"2022 Mazda 3 4-Door 4WD 2.5 L, 4 cyl, Automatic (S6), Regular Gasoline",,28MPG2533combined city/hwycityhwy3.6 gal/100 mi,,28,MPG,25,33,,combined city/hwy,city,hwy,3.6 gal/100 mi,,,"$1,900","$23,100 – $33,450",10.6 barrels/yr,320 grams/mile, 356 milesTotal Range,Regular Gasoline
"2022 Toyota RAV4 AWD 2.5 L, 4 cyl, Automatic (S8), Regular Gasoline",,28MPG2533combined city/hwycityhwy3.6 gal/100 mi,,28,MPG,25,33,,combined city/hwy,city,hwy,3.6 gal/100 mi,,,"$1,900","$29,845 – $36,875",10.6 barrels/yr,319 grams/mile, 406 milesTotal Range,Regular Gasoline
"2022 Volvo S60 B5 AWD 2.0 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,28MPG2533combined city/hwycityhwy3.6 gal/100 mi,,28,MPG,25,33,,combined city/hwy,city,hwy,3.6 gal/100 mi,,,"$2,350","$41,550 – $44,550",10.6 barrels/yr,316 grams/mile, 445 milesTotal Range,Regular Gasoline
"2022 BMW Z4 sDrive30i 2.0 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,28MPG2532combined city/hwycityhwy3.6 gal/100 mi,,28,MPG,25,32,,combined city/hwy,city,hwy,3.6 gal/100 mi,,,"$2,350","$49,900",10.6 barrels/yr,317 grams/mile, 384 milesTotal Range,Regular Gasoline
"2022 Lexus NX 250 AWD 2.5 L, 4 cyl, Automatic (S8), Regular Gasoline",,28MPG2532combined city/hwycityhwy3.6 gal/100 mi,,28,MPG,25,32,,combined city/hwy,city,hwy,3.6 gal/100 mi,,,"$1,900","$39,950 – $46,100",10.6 barrels/yr,318 grams/mile, 406 milesTotal Range,Regular Gasoline
"2022 Nissan Rogue Sport 2.0 L, 4 cyl, Automatic (AV-S8), Regular Gasoline",,28MPG2532combined city/hwycityhwy3.6 gal/100 mi,,28,MPG,25,32,,combined city/hwy,city,hwy,3.6 gal/100 mi,,,"$1,900","$24,960 – $29,590",10.6 barrels/yr,318 grams/mile, 406 milesTotal Range,Regular Gasoline
"2022 Toyota GR Supra 2.0 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,28MPG2532combined city/hwycityhwy3.6 gal/100 mi,,28,MPG,25,32,,combined city/hwy,city,hwy,3.6 gal/100 mi,,,"$2,350","$43,540 – $63,280",10.6 barrels/yr,317 grams/mile, 384 milesTotal Range,Regular Gasoline
"2022 Toyota RAV4 AWD TRD OFFROAD 2.5 L, 4 cyl, Automatic (S8), Regular Gasoline",,28MPG2532combined city/hwycityhwy3.6 gal/100 mi,,28,MPG,25,32,,combined city/hwy,city,hwy,3.6 gal/100 mi,,,"$1,900","$36,915",10.6 barrels/yr,323 grams/mile, 406 milesTotal Range,Regular Gasoline
"2022 Volkswagen Taos 4motion 1.5 L, 4 cyl, Automatic 7-spd, Turbo, Regular Gasoline",,28MPG2532combined city/hwycityhwy3.6 gal/100 mi,,28,MPG,25,32,,combined city/hwy,city,hwy,3.6 gal/100 mi,28.0,,"$1,900","$25,540 – $33,645",10.6 barrels/yr,323 grams/mile, 406 milesTotal Range,Regular Gasoline
"2022 Volkswagen Passat 2.0 L, 4 cyl, Automatic (S6), Turbo, Regular Gasoline",,28MPG2436combined city/hwycityhwy3.6 gal/100 mi,,28,MPG,24,36,,combined city/hwy,city,hwy,3.6 gal/100 mi,27.5,,"$1,900","$27,575 – $30,575",10.6 barrels/yr,315 grams/mile, 518 milesTotal Range,Regular Gasoline
"2022 Mercedes-Benz A220 2.0 L, 4 cyl, Automatic (AM7), Turbo, Premium Gasoline",,28MPG2435combined city/hwycityhwy3.6 gal/100 mi,,28,MPG,24,35,,combined city/hwy,city,hwy,3.6 gal/100 mi,,,"$2,350","$33,950",10.6 barrels/yr,313 grams/mile, 378 milesTotal Range,Regular Gasoline
"2022 Acura ILX 2.4 L, 4 cyl, Automatic (AM-S8), Premium Gasoline",,28MPG2434combined city/hwycityhwy3.6 gal/100 mi,,28,MPG,24,34,,combined city/hwy,city,hwy,3.6 gal/100 mi,,,"$2,350","$27,300 – $33,200",10.6 barrels/yr,316 grams/mile, 370 milesTotal Range,Regular Gasoline
"2022 BMW 228i Gran Coupe 2.0 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,28MPG2434combined city/hwycityhwy3.6 gal/100 mi,,28,MPG,24,34,,combined city/hwy,city,hwy,3.6 gal/100 mi,,,"$2,350", ,10.6 barrels/yr,314 grams/mile, 370 milesTotal Range,Regular Gasoline
"2022 Mercedes-Benz GLA250 2.0 L, 4 cyl, Automatic (AM8), Turbo, Premium Gasoline",,28MPG2434combined city/hwycityhwy3.6 gal/100 mi,,28,MPG,24,34,,combined city/hwy,city,hwy,3.6 gal/100 mi,,,"$2,350","$36,400",10.6 barrels/yr,321 grams/mile, 356 milesTotal Range,Regular Gasoline
"2022 Volkswagen Arteon 2.0 L, 4 cyl, Automatic (AM7), Turbo, Premium Gasoline",,28MPG2434combined city/hwycityhwy3.6 gal/100 mi,,28,MPG,24,34,,combined city/hwy,city,hwy,3.6 gal/100 mi,,,"$2,350","$40,750",10.6 barrels/yr,318 grams/mile, 487 milesTotal Range,Regular Gasoline
"2022 Volkswagen GTI 2.0 L, 4 cyl, Manual 6-spd, Turbo, Regular Gasoline",,28MPG2434combined city/hwycityhwy3.6 gal/100 mi,,28,MPG,24,34,,combined city/hwy,city,hwy,3.6 gal/100 mi,30.5,,"$1,900","$29,880 – $39,130",10.6 barrels/yr,319 grams/mile, 370 milesTotal Range,Regular Gasoline
"2022 MINI Cooper S Countryman 2.0 L, 4 cyl, Automatic (AM-S7), Turbo, Premium Gasoline",,28MPG2433combined city/hwycityhwy3.6 gal/100 mi,,28,MPG,24,33,,combined city/hwy,city,hwy,3.6 gal/100 mi,,,"$2,350", ,10.6 barrels/yr,321 grams/mile, 451 milesTotal Range,Regular Gasoline
"2022 MINI John Cooper Works Convertible 2.0 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,28MPG2433combined city/hwycityhwy3.6 gal/100 mi,,28,MPG,24,33,,combined city/hwy,city,hwy,3.6 gal/100 mi,,,"$2,350","$38,900",10.6 barrels/yr,319 grams/mile, 325 milesTotal Range,Regular Gasoline
"2022 Buick Encore GX AWD 1.3 L, 3 cyl, Automatic 9-spd, Turbo, Regular Gasoline",,27MPG2629combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,26,29,,combined city/hwy,city,hwy,3.7 gal/100 mi,,,"$1,950","$26,200 – $30,600",11.0 barrels/yr,324 grams/mile, 356 milesTotal Range,Regular Gasoline
"2022 Mitsubishi Eclipse Cross ES 2WD 1.5 L, 4 cyl, Automatic (AV-S8), Turbo, Regular Gasoline",,27MPG2629combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,26,29,,combined city/hwy,city,hwy,3.7 gal/100 mi,,,"$1,950", ,11.0 barrels/yr,327 grams/mile, 448 milesTotal Range,Regular Gasoline
"2022 Mazda 3 5-Door 4WD 2.5 L, 4 cyl, Automatic (S6), Regular Gasoline",,27MPG2531combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,25,31,,combined city/hwy,city,hwy,3.7 gal/100 mi,,,"$1,950","$27,500 – $34,750",11.0 barrels/yr,326 grams/mile, 343 milesTotal Range,Regular Gasoline
"2022 Chevrolet Equinox AWD 1.5 L, 4 cyl, Automatic 6-spd, Turbo, Regular Gasoline",,27MPG2530combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,25,30,,combined city/hwy,city,hwy,3.7 gal/100 mi,,,"$1,950","$27,400 – $32,600",11.0 barrels/yr,327 grams/mile, 421 milesTotal Range,Regular Gasoline
"2022 GMC Terrain FWD 1.5 L, 4 cyl, Automatic 9-spd, Turbo, Regular Gasoline",,27MPG2530combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,25,30,,combined city/hwy,city,hwy,3.7 gal/100 mi,,,"$1,950","$27,900 – $31,900",11.0 barrels/yr,330 grams/mile, 402 milesTotal Range,Regular Gasoline
"2022 Kia Seltos AWD 1.6 L, 4 cyl, Automatic (AM-S7), Turbo, Regular Gasoline",,27MPG2530combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,25,30,,combined city/hwy,city,hwy,3.7 gal/100 mi,,,"$1,950","$22,590 – $28,090",11.0 barrels/yr,331 grams/mile, 356 milesTotal Range,Regular Gasoline
"2022 Alfa Romeo Giulia 2.0 L, 4 cyl, Automatic 8-spd, Turbo, Premium Gasoline",,27MPG2433combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,24,33,,combined city/hwy,city,hwy,3.7 gal/100 mi,,,"$2,400","$43,350 – $78,830",11.0 barrels/yr,330 grams/mile, 413 milesTotal Range,Regular Gasoline
"2022 BMW X1 sDrive28i 2.0 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,27MPG2433combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,24,33,,combined city/hwy,city,hwy,3.7 gal/100 mi,,,"$2,400","$35,400",11.0 barrels/yr,324 grams/mile, 435 milesTotal Range,Regular Gasoline
"2022 Mazda 3 5-Door 2WD 2.5 L, 4 cyl, Manual 6-spd, Regular Gasoline",,27MPG2433combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,24,33,,combined city/hwy,city,hwy,3.7 gal/100 mi,,,"$1,950","$24,450 – $28,700",11.0 barrels/yr,323 grams/mile, 356 milesTotal Range,Regular Gasoline
"2022 Mercedes-Benz CLA250 4matic 2.0 L, 4 cyl, Automatic (AM7), Turbo, Premium Gasoline",,27MPG2433combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,24,33,,combined city/hwy,city,hwy,3.7 gal/100 mi,,,"$2,400","$40,200",11.0 barrels/yr,322 grams/mile, 364 milesTotal Range,Regular Gasoline
"2022 BMW X2 sDrive28i 2.0 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,27MPG2432combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,24,32,,combined city/hwy,city,hwy,3.7 gal/100 mi,,,"$2,400","$36,600",11.0 barrels/yr,330 grams/mile, 435 milesTotal Range,Regular Gasoline
"2022 Buick Encore FWD 1.4 L, 4 cyl, Automatic (S6), Turbo, Regular Gasoline",,27MPG2432combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,24,32,,combined city/hwy,city,hwy,3.7 gal/100 mi,,,"$1,950","$24,600",11.0 barrels/yr,329 grams/mile, 378 milesTotal Range,Regular Gasoline
"2022 Chevrolet Trax FWD 1.4 L, 4 cyl, Automatic (S6), Turbo, Regular Gasoline",,27MPG2432combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,24,32,,combined city/hwy,city,hwy,3.7 gal/100 mi,,,"$1,950","$21,400 – $23,200",11.0 barrels/yr,329 grams/mile, 378 milesTotal Range,Regular Gasoline
"2022 Jeep Renegade 2WD 1.3 L, 4 cyl, Automatic 9-spd, Turbo, Regular Gasoline",,27MPG2432combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,24,32,,combined city/hwy,city,hwy,3.7 gal/100 mi,,,"$1,950","$24,695",11.0 barrels/yr,329 grams/mile, 343 milesTotal Range,Regular Gasoline
"2022 Kia K5 2.5 L, 4 cyl, Automatic (AM-S8), Turbo, Regular Gasoline",,27MPG2432combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,24,32,,combined city/hwy,city,hwy,3.7 gal/100 mi,,,"$1,950","$23,790 – $31,190",11.0 barrels/yr,332 grams/mile, 427 milesTotal Range,Regular Gasoline
"2022 Mercedes-Benz GLB250 2.0 L, 4 cyl, Automatic (AM8), Turbo, Premium Gasoline",,27MPG2432combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,24,32,,combined city/hwy,city,hwy,3.7 gal/100 mi,,,"$2,400","$38,600",11.0 barrels/yr,330 grams/mile, 429 milesTotal Range,Regular Gasoline
"2022 Subaru Legacy AWD 2.4 L, 4 cyl, Automatic (AV-S8), Turbo, Regular Gasoline",,27MPG2432combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,24,32,,combined city/hwy,city,hwy,3.7 gal/100 mi,,,"$1,950","$23,495 – $36,695",11.0 barrels/yr,330 grams/mile, 500 milesTotal Range,Regular Gasoline
"2022 BMW X2 xDrive28i 2.0 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,27MPG2431combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,24,31,,combined city/hwy,city,hwy,3.7 gal/100 mi,,,"$2,400","$38,600",11.0 barrels/yr,331 grams/mile, 435 milesTotal Range,Regular Gasoline
"2022 Mitsubishi Outlander 2WD 2.5 L, 4 cyl, Automatic (AV-S8), Regular Gasoline",,27MPG2431combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,24,31,,combined city/hwy,city,hwy,3.7 gal/100 mi,28.7,,"$1,950","$26,995 – $33,145",11.0 barrels/yr,328 grams/mile, 392 milesTotal Range,Regular Gasoline
"2022 Mitsubishi Outlander Sport 2WD 2.0 L, 4 cyl, Automatic (AV-S6), Regular Gasoline",,27MPG2430combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,24,30,,combined city/hwy,city,hwy,3.7 gal/100 mi,27.9,,"$1,950","$21,795 – $26,045",11.0 barrels/yr,331 grams/mile, 448 milesTotal Range,Regular Gasoline
"2022 Nissan Rogue Sport AWD 2.0 L, 4 cyl, Automatic (AV-S8), Regular Gasoline",,27MPG2430combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,24,30,,combined city/hwy,city,hwy,3.7 gal/100 mi,,,"$1,950","$26,460 – $31,090",11.0 barrels/yr,330 grams/mile, 392 milesTotal Range,Regular Gasoline
"2022 Cadillac CT4 2.0 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,27MPG2334combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,23,34,,combined city/hwy,city,hwy,3.7 gal/100 mi,,,"$2,400","$33,695 – $39,795",11.0 barrels/yr,331 grams/mile, 459 milesTotal Range,Regular Gasoline
"2022 BMW 228i xDrive Gran Coupe 2.0 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,27MPG2333combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,23,33,,combined city/hwy,city,hwy,3.7 gal/100 mi,,,"$2,400", ,11.0 barrels/yr,329 grams/mile, 356 milesTotal Range,Regular Gasoline
"2022 BMW 430i xDrive Convertible 2.0 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,27MPG2333combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,23,33,,combined city/hwy,city,hwy,3.7 gal/100 mi,,,"$2,400","$55,300",11.0 barrels/yr,327 grams/mile, 421 milesTotal Range,Regular Gasoline
"2022 BMW 430i xDrive Coupe 2.0 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,27MPG2333combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,23,33,,combined city/hwy,city,hwy,3.7 gal/100 mi,,,"$2,400","$47,800",11.0 barrels/yr,327 grams/mile, 421 milesTotal Range,Regular Gasoline
"2022 Cadillac CT5 2.0 L, 4 cyl, Automatic (S10), Turbo, Premium Gasoline",,27MPG2333combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,23,33,,combined city/hwy,city,hwy,3.7 gal/100 mi,,,"$2,400","$37,295 – $42,995",11.0 barrels/yr,333 grams/mile, 459 milesTotal Range,Regular Gasoline
"2022 Hyundai Sonata 2.5 L, 4 cyl, Automatic (AM-S8), Turbo, Regular Gasoline",,27MPG2333combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,23,33,,combined city/hwy,city,hwy,3.7 gal/100 mi,,,"$1,950","$24,150 – $34,750",11.0 barrels/yr,335 grams/mile, 429 milesTotal Range,Regular Gasoline
"2022 MINI Cooper S Hardtop 2 door 2.0 L, 4 cyl, Manual 6-spd, Turbo, Premium Gasoline",,27MPG2333combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,23,33,,combined city/hwy,city,hwy,3.7 gal/100 mi,,,"$2,400","$26,900",11.0 barrels/yr,331 grams/mile, 313 milesTotal Range,Regular Gasoline
"2022 MINI Cooper S Hardtop 4 door 2.0 L, 4 cyl, Manual 6-spd, Turbo, Premium Gasoline",,27MPG2333combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,23,33,,combined city/hwy,city,hwy,3.7 gal/100 mi,,,"$2,400","$27,900",11.0 barrels/yr,331 grams/mile, 313 milesTotal Range,Regular Gasoline
"2022 Audi S3 2.0 L, 4 cyl, Automatic (AM-S7), Turbo, Premium Gasoline",,27MPG2332combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,23,32,,combined city/hwy,city,hwy,3.7 gal/100 mi,,,"$2,400","$45,800 – $52,400",11.0 barrels/yr,331 grams/mile, 392 milesTotal Range,Regular Gasoline
"2022 Mazda 3 4-Door 4WD 2.5 L, 4 cyl, Automatic (S6), Turbo, Regular Gasoline",,27MPG2332combined city/hwycityhwy3.7 gal/100 mi,,27,MPG,23,32,,combined city/hwy,city,hwy,3.7 gal/100 mi,,,"$1,950","$23,100 – $33,450",11.0 barrels/yr,334 grams/mile, 343 milesTotal Range,Regular Gasoline
"2022 Ford Bronco Sport 4WD 1.5 L, 3 cyl, Automatic 8-spd, Turbo, Regular Gasoline",,26MPG2528combined city/hwycityhwy3.8 gal/100 mi,,26,MPG,25,28,,combined city/hwy,city,hwy,3.8 gal/100 mi,,,"$2,050","$28,815 – $36,590",11.4 barrels/yr,342 grams/mile, 416 milesTotal Range,Regular Gasoline
"2022 GMC Terrain AWD 1.5 L, 4 cyl, Automatic 9-spd, Turbo, Regular Gasoline",,26MPG2528combined city/hwycityhwy3.8 gal/100 mi,,26,MPG,25,28,,combined city/hwy,city,hwy,3.8 gal/100 mi,,,"$2,050","$29,500 – $36,600",11.4 barrels/yr,342 grams/mile, 406 milesTotal Range,Regular Gasoline
"2022 Hyundai Santa Fe FWD 2.5 L, 4 cyl, Automatic (S8), Regular Gasoline",,26MPG2528combined city/hwycityhwy3.8 gal/100 mi,,26,MPG,25,28,,combined city/hwy,city,hwy,3.8 gal/100 mi,,,"$2,050","$27,400 – $41,410",11.4 barrels/yr,344 grams/mile, 489 milesTotal Range,Regular Gasoline
"2022 Mitsubishi Eclipse Cross 2WD 1.5 L, 4 cyl, Automatic (AV-S8), Turbo, Regular Gasoline",,26MPG2528combined city/hwycityhwy3.8 gal/100 mi,,26,MPG,25,28,,combined city/hwy,city,hwy,3.8 gal/100 mi,,,"$2,050","$25,045 – $27,695",11.4 barrels/yr,338 grams/mile, 432 milesTotal Range,Regular Gasoline
"2022 Mitsubishi Eclipse Cross ES 4WD 1.5 L, 4 cyl, Automatic (AV-S8), Turbo, Regular Gasoline",,26MPG2528combined city/hwycityhwy3.8 gal/100 mi,,26,MPG,25,28,,combined city/hwy,city,hwy,3.8 gal/100 mi,,,"$2,050","$25,295",11.4 barrels/yr,337 grams/mile, 411 milesTotal Range,Regular Gasoline
"2022 Subaru Forester Wilderness AWD 2.5 L, 4 cyl, Automatic (AV-S8), Regular Gasoline",,26MPG2528combined city/hwycityhwy3.8 gal/100 mi,,26,MPG,25,28,,combined city/hwy,city,hwy,3.8 gal/100 mi,,,"$2,050","$33,520",11.4 barrels/yr,338 grams/mile, 432 milesTotal Range,Regular Gasoline
"2022 Buick Envision FWD 2.0 L, 4 cyl, Automatic (S9), Turbo, Regular Gasoline",,26MPG2431combined city/hwycityhwy3.8 gal/100 mi,,26,MPG,24,31,,combined city/hwy,city,hwy,3.8 gal/100 mi,,,"$2,050","$31,800 – $40,400",11.4 barrels/yr,341 grams/mile, 413 milesTotal Range,Regular Gasoline
"2022 Mazda CX-30 4WD 2.5 L, 4 cyl, Automatic (S6), Regular Gasoline",,26MPG2431combined city/hwycityhwy3.8 gal/100 mi,,26,MPG,24,31,,combined city/hwy,city,hwy,3.8 gal/100 mi,27.7,,"$2,050","$22,500 – $34,700",11.4 barrels/yr,334 grams/mile, 330 milesTotal Range,Regular Gasoline
"2022 Subaru Impreza 5-Door 2.0 L, 4 cyl, Manual 5-spd, Regular Gasoline",,26MPG2431combined city/hwycityhwy3.8 gal/100 mi,,26,MPG,24,31,,combined city/hwy,city,hwy,3.8 gal/100 mi,,,"$2,050","$19,795 – $26,895",11.4 barrels/yr,335 grams/mile, 343 milesTotal Range,Regular Gasoline
"2022 Cadillac XT4 FWD 2.0 L, 4 cyl, Automatic (S9), Turbo, Premium Gasoline",,26MPG2430combined city/hwycityhwy3.8 gal/100 mi,,26,MPG,24,30,,combined city/hwy,city,hwy,3.8 gal/100 mi,,,"$2,500","$35,795 – $39,895",11.4 barrels/yr,341 grams/mile, 413 milesTotal Range,Regular Gasoline
"2022 Fiat 500X AWD 1.3 L, 4 cyl, Automatic 9-spd, Turbo, Regular Gasoline",,26MPG2430combined city/hwycityhwy3.8 gal/100 mi,,26,MPG,24,30,,combined city/hwy,city,hwy,3.8 gal/100 mi,,,"$2,050","$27,965 – $33,945",11.4 barrels/yr,356 grams/mile, 330 milesTotal Range,Regular Gasoline
"2022 Mazda CX-5 4WD 2.5 L, 4 cyl, Automatic (S6), Regular Gasoline",,26MPG2430combined city/hwycityhwy3.8 gal/100 mi,,26,MPG,24,30,,combined city/hwy,city,hwy,3.8 gal/100 mi,28.1,,"$2,050","$26,250 – $39,000",11.4 barrels/yr,337 grams/mile, 398 milesTotal Range,Regular Gasoline
"2022 Mitsubishi Outlander 4WD 2.5 L, 4 cyl, Automatic (AV-S8), Regular Gasoline",,26MPG2430combined city/hwycityhwy3.8 gal/100 mi,,26,MPG,24,30,,combined city/hwy,city,hwy,3.8 gal/100 mi,26.9,,"$2,050","$28,795 – $35,345",11.4 barrels/yr,342 grams/mile, 377 milesTotal Range,Regular Gasoline
"2022 Hyundai Tucson AWD 2.5 L, 4 cyl, Automatic (S8), Regular Gasoline",,26MPG2429combined city/hwycityhwy3.8 gal/100 mi,,26,MPG,24,29,,combined city/hwy,city,hwy,3.8 gal/100 mi,25.4,,"$2,050","$26,450 – $36,800",11.4 barrels/yr,349 grams/mile, 372 milesTotal Range,Regular Gasoline
"2022 Kia Sorento FWD 2.5 L, 4 cyl, Automatic (S8), Regular Gasoline",,26MPG2429combined city/hwycityhwy3.8 gal/100 mi,,26,MPG,24,29,,combined city/hwy,city,hwy,3.8 gal/100 mi,,,"$2,050","$29,590 – $41,190",11.4 barrels/yr,342 grams/mile, 460 milesTotal Range,Regular Gasoline
"2022 Ford Transit Connect Wagon LWB FWD 2.0 L, 4 cyl, Automatic (S8), Regular Gasoline",,26MPG2428combined city/hwycityhwy3.8 gal/100 mi,,26,MPG,24,28,,combined city/hwy,city,hwy,3.8 gal/100 mi,,,"$2,050","$30,365 – $33,975",11.4 barrels/yr,347 grams/mile, 411 milesTotal Range,Regular Gasoline
"2022 MINI Cooper S Clubman 2.0 L, 4 cyl, Manual 6-spd, Turbo, Premium Gasoline",,26MPG2333combined city/hwycityhwy3.8 gal/100 mi,,26,MPG,23,33,,combined city/hwy,city,hwy,3.8 gal/100 mi,,,"$2,500", ,11.4 barrels/yr,335 grams/mile, 343 milesTotal Range,Regular Gasoline
"2022 MINI Cooper S Convertible 2.0 L, 4 cyl, Manual 6-spd, Turbo, Premium Gasoline",,26MPG2333combined city/hwycityhwy3.8 gal/100 mi,,26,MPG,23,33,,combined city/hwy,city,hwy,3.8 gal/100 mi,,,"$2,500","$31,900",11.4 barrels/yr,335 grams/mile, 302 milesTotal Range,Regular Gasoline
"2022 BMW 530i xDrive Sedan 2.0 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,26MPG2332combined city/hwycityhwy3.8 gal/100 mi,,26,MPG,23,32,,combined city/hwy,city,hwy,3.8 gal/100 mi,,,"$2,500","$56,500",11.4 barrels/yr,332 grams/mile, 468 milesTotal Range,Regular Gasoline
"2022 BMW M235i xDrive Gran Coupe 2.0 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,26MPG2332combined city/hwycityhwy3.8 gal/100 mi,,26,MPG,23,32,,combined city/hwy,city,hwy,3.8 gal/100 mi,,,"$2,500","$45,500",11.4 barrels/yr,334 grams/mile, 343 milesTotal Range,Regular Gasoline
"2022 BMW M240i xDrive Coupe 3.0 L, 6 cyl, Automatic (S8), Turbo, Premium Gasoline",,26MPG2332combined city/hwycityhwy3.8 gal/100 mi,,26,MPG,23,32,,combined city/hwy,city,hwy,3.8 gal/100 mi,,,"$2,500","$48,550",11.4 barrels/yr,335 grams/mile, 356 milesTotal Range,Regular Gasoline
"2022 Genesis G80 RWD 2.5 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,26MPG2332combined city/hwycityhwy3.8 gal/100 mi,,26,MPG,23,32,,combined city/hwy,city,hwy,3.8 gal/100 mi,,,"$2,500","$48,250",11.4 barrels/yr,345 grams/mile, 447 milesTotal Range,Regular Gasoline
"2022 Jaguar XF P250 AWD 2.0 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,26MPG2332combined city/hwycityhwy3.8 gal/100 mi,,26,MPG,23,32,,combined city/hwy,city,hwy,3.8 gal/100 mi,,,"$2,500", ,11.4 barrels/yr,336 grams/mile, 507 milesTotal Range,Regular Gasoline
"2022 Mercedes-Benz GLA250 4matic 2.0 L, 4 cyl, Automatic (AM8), Turbo, Premium Gasoline",,26MPG2332combined city/hwycityhwy3.8 gal/100 mi,,26,MPG,23,32,,combined city/hwy,city,hwy,3.8 gal/100 mi,,,"$2,500","$38,400",11.4 barrels/yr,337 grams/mile, 330 milesTotal Range,Regular Gasoline
"2022 MINI Cooper S Clubman All4 2.0 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,26MPG2332combined city/hwycityhwy3.8 gal/100 mi,,26,MPG,23,32,,combined city/hwy,city,hwy,3.8 gal/100 mi,,,"$2,500", ,11.4 barrels/yr,333 grams/mile, 343 milesTotal Range,Regular Gasoline
