Vehicle,Blank1,All_MPG,Blank2,Combined_MPG,MPG_Type,City_MPG,HWY_MPG,Blank3,Text1,Text_city,Text_hwy,Fuel_Rate,Text2,Blank4,Annual_Fuel_Cost,MSRP,Car_Spec1,Car_Spec2,Total_Range,EngineType
"2022 Tesla Model SAutomatic (A1), Electricity",,120MPGe124115combined city/hwycityhwy28 kWh/100 mi,,120,MPGe,124,115,,combined city/hwy,city,hwy,28 kWh/100 mi,NA ,,$600,"$104,990",.1 barrels/yr,0 grams/mile, 405 milesTotal Range,Electric Vehicle
"2022 Kia EV6 RWD (Standard Range)Automatic (A1), Electricity",,117MPGe136100combined city/hwycityhwy29 kWh/100 mi,,117,MPGe,136,100,,combined city/hwy,city,hwy,29 kWh/100 mi,NA ,,$600, ,.1 barrels/yr,0 grams/mile, 232 milesTotal Range,Electric Vehicle
"2022 Kia EV6 RWD (Long Range)Automatic (A1), Electricity",,117MPGe134101combined city/hwycityhwy29 kWh/100 mi,,117,MPGe,134,101,,combined city/hwy,city,hwy,29 kWh/100 mi,NA ,,$600, ,.1 barrels/yr,0 grams/mile, 310 milesTotal Range,Electric Vehicle
"2022 Tesla Model S Plaid (19 inch wheels)Automatic (A1), Electricity",,116MPGe119112combined city/hwycityhwy29 kWh/100 mi,,116,MPGe,119,112,,combined city/hwy,city,hwy,29 kWh/100 mi,NA ,,$600,"$135,990",.1 barrels/yr,0 grams/mile, 396 milesTotal Range,Electric Vehicle
"2022 Lucid Air Dream P AWD w/19 inch wheelsAutomatic (A1), Electricity",,116MPGe117114combined city/hwycityhwy29 kWh/100 mi,,116,MPGe,117,114,,combined city/hwy,city,hwy,29 kWh/100 mi,NA ,,$600, ,.1 barrels/yr,0 grams/mile, 471 milesTotal Range,Electric Vehicle
"2022 Lucid Air Dream R AWD w/21 inch wheelsAutomatic (A1), Electricity",,116MPGe115117combined city/hwycityhwy29 kWh/100 mi,,116,MPGe,115,117,,combined city/hwy,city,hwy,29 kWh/100 mi,NA ,,$600, ,.1 barrels/yr,0 grams/mile, 481 milesTotal Range,Electric Vehicle
"2022 Chevrolet Bolt EUVAutomatic (variable gear ratios), Electricity",,115MPGe125104combined city/hwycityhwy29 kWh/100 mi,,115,MPGe,125,104,,combined city/hwy,city,hwy,29 kWh/100 mi,NA ,,$600,"$33,000– $37,500",.1 barrels/yr,0 grams/mile, 247 milesTotal Range,Electric Vehicle
"2022 Hyundai Ioniq 5 RWD (Long Range)Automatic (A1), Electricity",,114MPGe13298combined city/hwycityhwy30 kWh/100 mi,,114,MPGe,132,98,,combined city/hwy,city,hwy,30 kWh/100 mi,NA ,,$650,"$51,100",.1 barrels/yr,0 grams/mile, 303 milesTotal Range,Electric Vehicle
"2022 Tesla Model 3 Performance AWDAutomatic (A1), Electricity",,113MPGe118107combined city/hwycityhwy30 kWh/100 mi,,113,MPGe,118,107,,combined city/hwy,city,hwy,30 kWh/100 mi,NA ,,$650,"$62,990",.1 barrels/yr,0 grams/mile, 315 milesTotal Range,Electric Vehicle
"2022 Kia Niro ElectricAutomatic (A1), Electricity",,112MPGe123102combined city/hwycityhwy30 kWh/100 mi,,112,MPGe,123,102,,combined city/hwy,city,hwy,30 kWh/100 mi,123.7,,$650,"$39,090– $44,650",.1 barrels/yr,0 grams/mile, 239 milesTotal Range,Electric Vehicle
