Vehicle,Blank1,All_MPG,Blank2,Combined_MPGe,MPGe_Type,Blank3,Blank4,Blank5,TextCombined,Blank6,Blank7,ElectricCarSpecs,Blank8,Combined_MPG,MPGType,Blank9,Blank0,Blank11,TextCombined2,Blank12,Blank13,GasCarSpec,Blank14,Blank15,Annual_Fuel_Cost,MSRP,Car_Spec1,Car_Spec2,Total_Range,EngineType
"2022 BMW 330e Sedan2.0 L, 4 cyl, Automatic (S8), Turbo, Premium and Electricity",,Gas & Electric75MPGe  combined city/hwy.0 gal/100 mi of gas+ 45 kWh/100 miPrem. Gas28MPG  combined city/hwy3.6 gal/100 mi ,,75,MPGe, , ,,combined city/hwy,,,.0 gal/100 mi of gas+ 45 kWh/100 mi,,28,MPG, , ,,combined city/hwy,,,3.6 gal/100 mi ,,,"$1,650","$42,950",5.4 barrels/yr,160 grams/mile, 23 miles Elec + GasAll Elec: 0-22 mi320 miles Total Range ,Plug In Hybrid
"2022 MINI Cooper SE Countryman All41.5 L, 3 cyl, Automatic (S6), Turbo, Premium and Electricity",,Gas & Electric73MPGe  combined city/hwy.0 gal/100 mi of gas+ 46 kWh/100 miPrem. Gas29MPG  combined city/hwy3.4 gal/100 mi ,,73,MPGe, , ,,combined city/hwy,,,.0 gal/100 mi of gas+ 46 kWh/100 mi,,29,MPG, , ,,combined city/hwy,,,3.4 gal/100 mi ,,,"$1,700", ,5.8 barrels/yr,175 grams/mile, 18 miles Elec + GasAll Elec: 0-17 mi300 miles Total Range ,Plug In Hybrid
"2022 Mitsubishi Outlander PHEV2.4 L, 4 cyl, Automatic (A1), Regular Gas and Electricity",,Gas & Electric74MPGe  combined city/hwy.0 gal/100 mi of gas+ 45 kWh/100 miReg. Gas26MPG  combined city/hwy3.8 gal/100 mi ,,74,MPGe, , ,,combined city/hwy,,,.0 gal/100 mi of gas+ 45 kWh/100 mi,,26,MPG, , ,,combined city/hwy,,,3.8 gal/100 mi ,68.2,,"$1,500","$36,695  – $42,395",5.6 barrels/yr,165 grams/mile, 24 miles Elec + GasAll Elec: 0-24 mi320 miles Total Range ,Plug In Hybrid
"2022 Audi Q5 TFSI e quattro2.0 L, 4 cyl, Automatic (AM-S7), Turbo, Premium and Electricity",,Gas & Electric61MPGe  combined city/hwy.0 gal/100 mi of gas+ 56 kWh/100 miPrem. Gas26MPG  combined city/hwy3.8 gal/100 mi ,,61,MPGe, , ,,combined city/hwy,,,.0 gal/100 mi of gas+ 56 kWh/100 mi,,26,MPG, , ,,combined city/hwy,,,3.8 gal/100 mi ,,,"$1,750","$55,400  – $64,800",5.0 barrels/yr,148 grams/mile, 23 miles Elec + GasAll Elec: 0-23 mi390 miles Total Range ,Plug In Hybrid
"2022 BMW 530e Sedan2.0 L, 4 cyl, Automatic (S8), Turbo, Premium and Electricity",,Gas & Electric64MPGe  combined city/hwy.0 gal/100 mi of gas+ 49 kWh/100 miPrem. Gas26MPG  combined city/hwy3.8 gal/100 mi ,,64,MPGe, , ,,combined city/hwy,,,.0 gal/100 mi of gas+ 49 kWh/100 mi,,26,MPG, , ,,combined city/hwy,,,3.8 gal/100 mi ,,,"$1,800","$55,550",6.1 barrels/yr,178 grams/mile, 21 miles Elec + GasAll Elec: 0-21 mi340 miles Total Range ,Plug In Hybrid
"2022 BMW 330e xDrive Sedan2.0 L, 4 cyl, Automatic (S8), Turbo, Premium and Electricity",,Gas & Electric67MPGe  combined city/hwy.0 gal/100 mi of gas+ 51 kWh/100 miPrem. Gas25MPG  combined city/hwy4.0 gal/100 mi ,,67,MPGe, , ,,combined city/hwy,,,.0 gal/100 mi of gas+ 51 kWh/100 mi,,25,MPG, , ,,combined city/hwy,,,4.0 gal/100 mi ,,,"$1,900","$44,950",6.5 barrels/yr,192 grams/mile, 20 miles Elec + GasAll Elec: 0-20 mi290 miles Total Range ,Plug In Hybrid
"2022 Volvo XC90 T8 AWD Recharge2.0 L, 4 cyl, Automatic (S8), Turbo, Supercharger, Premium and Electricity",,Gas & Electric55MPGe  combined city/hwy.1 gal/100 mi of gas+ 58 kWh/100 miPrem. Gas27MPG  combined city/hwy3.7 gal/100 mi ,,55,MPGe, , ,,combined city/hwy,,,.1 gal/100 mi of gas+ 58 kWh/100 mi,,27,MPG, , ,,combined city/hwy,,,3.7 gal/100 mi ,,,"$1,950","$64,800  – $71,600",6.4 barrels/yr,197 grams/mile, 18 miles Elec + GasAll Elec: 0-18 mi520 miles Total Range ,Plug In Hybrid
"2022 Jeep Grand Cherokee 4xe2.0 L, 4 cyl, Automatic 8-spd, Turbo, Regular Gas and Electricity",,Gas & Electric56MPGe  combined city/hwy.0 gal/100 mi of gas+ 58 kWh/100 miReg. Gas23MPG  combined city/hwy4.3 gal/100 mi ,,56,MPGe, , ,,combined city/hwy,,,.0 gal/100 mi of gas+ 58 kWh/100 mi,,23,MPG, , ,,combined city/hwy,,,4.3 gal/100 mi ,,,"$1,700","$58,465  – $75,675",6.0 barrels/yr,177 grams/mile, 26 miles Elec + GasAll Elec: 0-25 mi470 miles Total Range ,Plug In Hybrid
"2022 Volvo XC60 T8 AWD Recharge2.0 L, 4 cyl, Automatic (S8), Turbo, Supercharger, Premium and Electricity",,Gas & Electric57MPGe  combined city/hwy.1 gal/100 mi of gas+ 56 kWh/100 miPrem. Gas25MPG  combined city/hwy4.0 gal/100 mi ,,57,MPGe, , ,,combined city/hwy,,,.1 gal/100 mi of gas+ 56 kWh/100 mi,,25,MPG, , ,,combined city/hwy,,,4.0 gal/100 mi ,,,"$2,000","$54,250  – $61,750",6.7 barrels/yr,206 grams/mile, 19 miles Elec + GasAll Elec: 0-18 mi500 miles Total Range ,Plug In Hybrid
"2022 BMW 530e xDrive Sedan2.0 L, 4 cyl, Automatic (S8), Turbo, Premium and Electricity",,Gas & Electric62MPGe  combined city/hwy.0 gal/100 mi of gas+ 53 kWh/100 miPrem. Gas25MPG  combined city/hwy4.0 gal/100 mi ,,62,MPGe, , ,,combined city/hwy,,,.0 gal/100 mi of gas+ 53 kWh/100 mi,,25,MPG, , ,,combined city/hwy,,,4.0 gal/100 mi ,,,"$2,000","$57,850",6.9 barrels/yr,203 grams/mile, 19 miles Elec + GasAll Elec: 0-18 mi320 miles Total Range ,Plug In Hybrid
