Vehicle,Blank1,All_MPG,Blank2,Combined_MPG,MPG_Type,City_MPG,HWY_MPG,Blank3,Text1,Text_city,Text_hwy,Fuel_Rate,Text2,Blank4,Annual_Fuel_Cost,MSRP,Car_Spec1,Car_Spec2,Total_Range
"2022 BMW X5 M 4.4 L, 8 cyl, Automatic (S8), Turbo, Premium Gasoline",,15MPG1318combined city/hwycityhwy6.7 gal/100 mi,,15,MPG,13,18,,combined city/hwy,city,hwy,6.7 gal/100 mi,NA,,"$4,350","$106,100",19.8 barrels/yr,586 grams/mile, 328 milesTotal Range
"2022 BMW X5 M Competition 4.4 L, 8 cyl, Automatic (S8), Turbo, Premium Gasoline",,15MPG1318combined city/hwycityhwy6.7 gal/100 mi,,15,MPG,13,18,,combined city/hwy,city,hwy,6.7 gal/100 mi,NA,,"$4,350", ,19.8 barrels/yr,586 grams/mile, 328 milesTotal Range
"2022 BMW X6 M 4.4 L, 8 cyl, Automatic (S8), Turbo, Premium Gasoline",,15MPG1318combined city/hwycityhwy6.7 gal/100 mi,,15,MPG,13,18,,combined city/hwy,city,hwy,6.7 gal/100 mi,NA,,"$4,350","$109,600",19.8 barrels/yr,586 grams/mile, 328 milesTotal Range
"2022 BMW X6 M Competition 4.4 L, 8 cyl, Automatic (S8), Turbo, Premium Gasoline",,15MPG1318combined city/hwycityhwy6.7 gal/100 mi,,15,MPG,13,18,,combined city/hwy,city,hwy,6.7 gal/100 mi,NA,,"$4,350", ,19.8 barrels/yr,586 grams/mile, 328 milesTotal Range
"2022 Jeep Grand Wagoneer 4WD 6.4 L, 8 cyl, Automatic 8-spd, Premium Gasoline",,15MPG1318combined city/hwycityhwy6.7 gal/100 mi,,15,MPG,13,18,,combined city/hwy,city,hwy,6.7 gal/100 mi,NA,,"$4,350","$87,995 – $107,995",19.8 barrels/yr,602 grams/mile, 398 milesTotal Range
"2022 Lamborghini Huracan Coupe 5.2 L, 10 cyl, Automatic (AM-S7), Premium Gasoline",,15MPG1318combined city/hwycityhwy6.7 gal/100 mi,,15,MPG,13,18,,combined city/hwy,city,hwy,6.7 gal/100 mi,NA,,"$4,350","$261,497",19.8 barrels/yr,596 grams/mile, 316 milesTotal Range
"2022 Lamborghini Huracan Coupe RWD 5.2 L, 10 cyl, Automatic (AM-S7), Premium Gasoline",,15MPG1318combined city/hwycityhwy6.7 gal/100 mi,,15,MPG,13,18,,combined city/hwy,city,hwy,6.7 gal/100 mi,NA,,"$4,350","$209,409",19.8 barrels/yr,596 grams/mile, 328 milesTotal Range
"2022 Lamborghini Huracan Spyder 5.2 L, 10 cyl, Automatic (AM-S7), Premium Gasoline",,15MPG1318combined city/hwycityhwy6.7 gal/100 mi,,15,MPG,13,18,,combined city/hwy,city,hwy,6.7 gal/100 mi,NA,,"$4,350","$287,623",19.8 barrels/yr,596 grams/mile, 316 milesTotal Range
"2022 Lamborghini Huracan Spyder RWD 5.2 L, 10 cyl, Automatic (AM-S7), Premium Gasoline",,15MPG1318combined city/hwycityhwy6.7 gal/100 mi,,15,MPG,13,18,,combined city/hwy,city,hwy,6.7 gal/100 mi,NA,,"$4,350","$230,266",19.8 barrels/yr,596 grams/mile, 328 milesTotal Range
"2022 Nissan Armada 4WD 5.6 L, 8 cyl, Automatic (S7), Premium Gasoline",,15MPG1318combined city/hwycityhwy6.7 gal/100 mi,,15,MPG,13,18,,combined city/hwy,city,hwy,6.7 gal/100 mi,NA,,"$4,350","$52,900 – $69,200",19.8 barrels/yr,593 grams/mile, 390 milesTotal Range
