Vehicle,PaymentYear,TotalPayment
Kia EV6 RWD (Long Range)Automatic (A1),6,3600.0
Kia EV6 RWD (Long Range)Automatic (A1),7,4200.0
Kia EV6 RWD (Long Range)Automatic (A1),8,4800.0
Kia EV6 RWD (Long Range)Automatic (A1),9,5400.0
Kia EV6 RWD (Long Range)Automatic (A1),10,6000.0
Kia EV6 RWD (Long Range)Automatic (A1),11,6600.0
Kia EV6 RWD (Long Range)Automatic (A1),12,7200.0
Tesla Model S Plaid (19 inch wheels)Automatic (A1),1,27798.0
Tesla Model S Plaid (19 inch wheels)Automatic (A1),2,55596.0
Tesla Model S Plaid (19 inch wheels)Automatic (A1),3,83394.0
Tesla Model S Plaid (19 inch wheels)Automatic (A1),4,111192.0
Tesla Model S Plaid (19 inch wheels)Automatic (A1),5,138990.0
Tesla Model S Plaid (19 inch wheels)Automatic (A1),6,139590.0
Tesla Model S Plaid (19 inch wheels)Automatic (A1),7,140190.0
Tesla Model S Plaid (19 inch wheels)Automatic (A1),8,140790.0
Tesla Model S Plaid (19 inch wheels)Automatic (A1),9,141390.0
Tesla Model S Plaid (19 inch wheels)Automatic (A1),10,141990.0
Tesla Model S Plaid (19 inch wheels)Automatic (A1),11,142590.0
Tesla Model S Plaid (19 inch wheels)Automatic (A1),12,143190.0
Lucid Air Dream P AWD w/19 inch wheelsAutomatic (A1),1,600.0
Lucid Air Dream P AWD w/19 inch wheelsAutomatic (A1),2,1200.0
Lucid Air Dream P AWD w/19 inch wheelsAutomatic (A1),3,1800.0
Lucid Air Dream P AWD w/19 inch wheelsAutomatic (A1),4,2400.0
Lucid Air Dream P AWD w/19 inch wheelsAutomatic (A1),5,3000.0
Lucid Air Dream P AWD w/19 inch wheelsAutomatic (A1),6,3600.0
Lucid Air Dream P AWD w/19 inch wheelsAutomatic (A1),7,4200.0
Lucid Air Dream P AWD w/19 inch wheelsAutomatic (A1),8,4800.0
Lucid Air Dream P AWD w/19 inch wheelsAutomatic (A1),9,5400.0
Lucid Air Dream P AWD w/19 inch wheelsAutomatic (A1),10,6000.0
Lucid Air Dream P AWD w/19 inch wheelsAutomatic (A1),11,6600.0
Lucid Air Dream P AWD w/19 inch wheelsAutomatic (A1),12,7200.0
Lucid Air Dream R AWD w/21 inch wheelsAutomatic (A1),1,600.0
Lucid Air Dream R AWD w/21 inch wheelsAutomatic (A1),2,1200.0
Lucid Air Dream R AWD w/21 inch wheelsAutomatic (A1),3,1800.0
Lucid Air Dream R AWD w/21 inch wheelsAutomatic (A1),4,2400.0
Lucid Air Dream R AWD w/21 inch wheelsAutomatic (A1),5,3000.0
Lucid Air Dream R AWD w/21 inch wheelsAutomatic (A1),6,3600.0
Lucid Air Dream R AWD w/21 inch wheelsAutomatic (A1),7,4200.0
Lucid Air Dream R AWD w/21 inch wheelsAutomatic (A1),8,4800.0
Lucid Air Dream R AWD w/21 inch wheelsAutomatic (A1),9,5400.0
Lucid Air Dream R AWD w/21 inch wheelsAutomatic (A1),10,6000.0
Lucid Air Dream R AWD w/21 inch wheelsAutomatic (A1),11,6600.0
Lucid Air Dream R AWD w/21 inch wheelsAutomatic (A1),12,7200.0
Chevrolet Bolt EUVAutomatic (variable gear ratios),1,8100.0
Chevrolet Bolt EUVAutomatic (variable gear ratios),2,16200.0
Chevrolet Bolt EUVAutomatic (variable gear ratios),3,24300.0
Chevrolet Bolt EUVAutomatic (variable gear ratios),4,32400.0
Chevrolet Bolt EUVAutomatic (variable gear ratios),5,40500.0
Chevrolet Bolt EUVAutomatic (variable gear ratios),6,41100.0
Chevrolet Bolt EUVAutomatic (variable gear ratios),7,41700.0
Chevrolet Bolt EUVAutomatic (variable gear ratios),8,42300.0
